programName,difficulty,techTag,Introduce,OutputRequirements
基于 Spring AI Alibaba 的本地可观测与调试平台（前端）,基础,"[[""web"",""Vue.js""]]",1. 项目背景本项目属于 Spring AI Alibaba 社区本地开发调试平台的一部分，平台涵盖前端与后端开发，本项目主要完成前端部分。该平台用于快速跟踪定位Agent运行链路、可视化快速与 Agent 交互等，需要提供sdk埋点、graph埋点、可视化平台后端逻辑、沙箱运行环境与通信协议实现等。2. 学生职责&目标：在这个项目中，学生将和社区导师与开发者一起平台前端部分开发，重点完成可视化链路展示、agent交互界面开发、prompt管理、页面交互效果优化等。3. 学生要求&技术栈,1. 在这个项目中，学生将和社区导师与开发者一起平台前端部分开发，重点完成可视化链路展示、agent交互界面开发、prompt管理、页面交互效果优化等。
补充IPsec和offload Authorization的端到端测试,进阶/Advanced,"[[""cloudnative"",""Cloud Native""],[""cloudnative"",""Kubernetes""]]",Kmesh在1.0版本引入了IPsec特性和将部分Authorization能力下沉到操作系统内核中。但是缺少相应的测试以看护这部分的功能。导致代码上线和新版本发布的时候存在隐藏风险。因此需要为这两个特性编写e2e测试，并且编写使用文档。1、IPsec2、Offload Authorization其中IPsec是确保节点间通信安全的特性，需要进行跨节点的测试。需要自己设计测试方案。Offload Authorization是Kmesh独有的，将IP和Port鉴权能力下沉到Linux内核xdp中的特性，因此需要针对Authorization的用户态程序和内核中的xdp prog进行测试。并且针对补全的鉴权场景进行不同的测试,1. IPSec的E2E测试代码2. Offload Authorization的E2E测试代码3. Ipsec和offload Authorization的测试文档与执行文档
实现位置共享,基础/Basic,"[[""web"",""Desktop Application""],[""web"",""Electron""],[""web"",""Mobile Application""],[""web"",""npm""],[""web"",""React""],[""web"",""React Native""],[""web"",""UI""],[""web"",""UIKit""],[""web"",""UX""],[""web"",""Web Application""],[""web"",""Yarn""]]",修复并实现桌面和移动应用消息编辑器中的按钮，用于分享用户当前位置和实时位置。创建组件，使用操作按钮渲染位置信息，以便在第三方应用上打开位置信息进行导航。位置信息可通过 iOS、Andriod 和 HarmonyOS 移动设备或浏览器共享。理想情况下，能够共享指定时间段内的实时位置信息。,1. 移动应用上的“分享我的位置”按钮2. 桌面/网页应用上的“分享我的位置”按钮3. 桌面/网页应用上的“分享我的位置”按钮
面向 openEuler 的高效并行 I/O 子系统 SIONlib 构建及相关工具链支持,进阶/Advanced,"[[""datas"",""HPC""]]","（1）相关背景SIONlib 是由德国尤利希研究中心开发的高性能并行 I/O 库，广泛应用于科研计算场景下的性能数据采集与处理。在操作系统 openEuler 推广过程中，部分 HPC 应用,尤其是超算、工业仿真、生物、气象等HPC应用对该库有强依赖，但目前尚未软件支持，完成兼容性集成。（2）已有的工作SIONlib 已作为 OpenHPC 社区推荐组件，具备良好的跨平台移植性，支持 GNU/Linux 系统环境中的多编译器（GCC、Clang）与 MPI 框架。（3）存在的不足openEuler 缺乏该库的官方支持，存在构建配置复杂、依赖关系不清、与国产编译器/环境兼容性不足的问题，阻碍了其在 HPC 场景中的使用。（4）希望改进的点a、构建适用于 openEuler 的 SIONlib 并打通构建链路b、支持与 GCC、OpenMPI 等工具链的联动测试c、输出 RPM 源码包和统一构建脚本，便于后续打包与维护d、编写用户编译使用文档和社区贡献指南（5）最终项目实现的目标在 openEuler 操作系统上完成 SIONlib 的稳定构建、运行验证与包管理支持，为国产操作系统在 HPC 领域中的广泛应用提供并行 I/O 能力基础。",1. 支持 SIONlib 在 openEuler 上编译构建2. 完成 OpenMPI 等框架的集成测试验证3. 提供构建脚本和 RPM 打包支持4. 提交用户手册与社区贡献文档
openGauss 向量数据库集成Llama Stack,基础,"[[""datas"",""Database""],[""datas"",""AI""]]",实现Llama Stack与openGauss的适配，构建基于该数据库的LLM应用全栈解决方案，输出各层对接代码及部署方案。,1. 开发openGauss向量存储对接层，支持索引构建与检索。2. 构建从数据接入到API服务的完整案例，输出包含监控方案的部署文档，代码合入社区。
运行时渲染解决方案,进阶,"[[""web"",""UI""],[""web"",""Vue.js""]]",当前TinyEngine仅支持出码方案，本赛题需要实现运行时渲染功能，能够支持开发态运行时预览与生产态部署运行。,"1. 实现运行时渲染模块，支持设计态、预览态与生产运行场景，并统一渲染能力(重构当前画布与预览渲染能力)。2. 实现现上预览、部署运行能力。3. 确保运行时渲染性能，避免性能瓶颈。(与出码方案性能相比不能有较大差距。建议指标：中等复杂度页面首屏≤2s, TTI≤3.5s)4. 提供详细的方案文档、使用文档，确保用户能够轻松使用该功能。5. 界面引导清晰，交互友好，无明显问题；代码逻辑清晰，模块划分合理，可维护性强，符合项目开发规范。"
为 vsag 增加 PC 端（Windows/macOS）开发和运行支持,基础,"[[""datas"",""AI""],[""datas"",""Vector Database""],[""os"",""x86""]]",当下大模型和RAG的爆火带来了许多新的向量检索需求，有许多场景发生在 PC 端上，例如为了隐私考虑，希望图片搜索功能发生在本地而不是云上。windows/macOS 系统作为桌面端，和linux系统有许多不同，包括开发工具、第三方库等等，vsag 目前还不支持在 windows/macOS 平台上开发和运行。增加 windows/macOS 平台的适配，有助于将 vsag 中的高效向量检索算法应用到更多场景中。希望你将 vsag 索引库与 windows/macOS 系统进行适配，使 vsag 能够在 windows/macOS 平台上开发和高效运行，为终端应用上的向量检索提供更好的向量检索算法。,"1. 为 vsag 核心代码增加跨平台编译支持（windows 或 macOS），使 vsag 核心代码可以在多平台上编译运行；
2. 开发 PC 平台的容器环境，输出对应的 Dockerfile；
3. 开发 PC 平台的 pyvsag 包，使得在 PC 平台可以通过 pip install pyvsag 获取可用的 python 向量检索包；
4. 编写 PC 平台（windows 或 macOS）的开发手册，帮助开发者在 PC 平台上使用 vsag 索引库；"
基于MindSpore Quantum实现薛定谔-海森堡变分算法,基础,"[[""datas"",""AI""]]",任务背景：目前对于XXZ等自旋模型的基态或者化学分子的基态求解这个问题，VQE是一种可以高精度的方法，但是VQE方法目前局限于对小规模系统的求解。当系统规模增加的时候，为了实现高精度求解，VQE线路的层数需要增加，且变分参数的训练也会非常耗费资源。因此，最近一种薛定谔-海森堡变分算法被提出，用来减少量子线路所需层数，这种方法将部分的训练开销转移到可以被经典高效模拟的Clifford线路，因此是一种更加高效的方法，探究这个方法的适用场景和局限性非常重要。任务需求：基于MindSpore Quantum框架实现薛定谔-海森堡变分算法最新版本复现薛定谔-海森堡变分算法，对于XXZ自旋模型，能够高效实现求解，相比于传统的VQE提升性能。,1. 使用MindSpore Quantum 0.10.0复现论文中的图2和图3；2. 提交规范的技术报告，需讨论a.针对给定的模型如何设计变分Clifford线路；b.阐述复现的薛定谔-海森堡变分算法；c.该方法的适用场景和局限性；3. 相关评估指标符合要求，代码需要有适当的注释并通过clean code标准；4. 最终项目代码需要通过审核并合入MindSpore Quantum代码仓。
探索LLVM AArch64架构后端的代码生成优化机会,进阶,"[[""os"",""Compiler""]]",编译器优化在助力设备整机性能上的重要越来越高。当一些常见的编译优化，比如向量化、内联、反馈优化、链接优化等遇到优化瓶颈的时候，编译器后端在紧密结合底层硬件和操作系统的条件下，仍然能够进一步优化程序性能。在编译器后端优化当中，指令级别的优化，比如指令选择，指令窥孔优化等是基础的优化手段。目前寻找指令级别的优化方法往往依赖专业人员对AArch64指令的了解程度，然后在分析大的应用程序性能时，发现指令级别优化机会。这种手段依赖专家先验知识，而且依赖具体的应用场景暴露优化机会，很难系统、全面的覆盖所有的指令窥孔类的优化机会。该项目建议用新的方法，脚本化的方式，基于很小的代码片段去寻找潜在的AArch64后端的指令级别优化机会。实现思路：1：使用llvm-extract工具将llvm的LIT case拆分成各个小函数，LIT case目录为llvm-project/llvm/test/Transforms llvm-project/llvm/test/CodeGen/AArch64(后续可能增删LIT case范围)2：使用llvm c backend https://github.com/JuliaHubOSS/llvm-cbe 将步骤一拆分出来的每个单个函数的LIT文件编译成对应的C函数3：使用最新的gcc(14.2)/clang(https://gitee.com/openeuler/llvm-project/tree/dev_19.1.7/) 编译步骤2的C函数(-march=armv8.6-a+sve -O3)，找出最优的指令序列（指令数目最少），若clang没有产生最优的序列，那就是一个优化机会,1. 完成项目描述中实现思路步骤1/2/3的框架脚本2. 文档，里面包括归好类的所有的优化机会，每个优化机会需要提供简易的复现方法
为 deepin RISC-V 移植 GCC 12 的 RISC-V Vector (RVV) 扩展支持,进阶/Advanced,"[[""codelang"",""Programming Language""],[""os"",""Complier""],[""os"",""Linux""],[""os"",""RISC-V""]]",deepin 操作系统正积极拓展对 RISC-V 架构的支持，旨在为用户提供在该新兴架构上的流畅、完整的桌面体验。GCC 作为 Linux 世界最核心的编译器套件之一，其功能和性能直接影响着整个系统的构建和运行效率。RISC-V Vector (RVV) 扩展为处理器提供了强大的并行计算能力，对于提升多媒体、科学计算、人工智能等应用的性能至关重要。虽然较新版本的 GCC (如 GCC 13+) 对 RVV 的支持已趋于成熟，但 deepin 23/25 基于稳定性考虑，仍选用或维护 GCC 12 作为其主要的系统编译器。为了让 deepin 在 RISC-V 平台上充分利用硬件特性，将新版 GCC 中的 RVV 支持向后移植（Backport）到 GCC 12 具有重要意义。本项目旨在系统性地将 GCC 13 或更高版本中稳定且关键的 RISC-V Vector (RVV) 扩展支持相关代码补丁，向后移植到 deepin 社区使用的 GCC 12 分支中。,1. 分析差异： 对比 GCC 12 与 GCC 13+ 在 RISC-V 后端，特别是 RVV 支持方面的代码差异，识别出实现 RVV intrinsics、自动向量化以及相关优化的关键补丁集。2. 补丁筛选与调整： 筛选出适合向后移植的、相对稳定且依赖较少的补丁。由于 GCC 代码库的演进，直接应用补丁可能存在冲突，需要进行细致的代码调整和冲突解决。3. 编译与构建： 在 Deepin 的构建环境或模拟环境中，使用移植后的源码构建针对 RISC-V 架构的 GCC 12 工具链。4. 功能验证： 编写或利用现有的测试用例，验证移植后的 GCC 12 是否能正确识别 RVV 相关的编译选项（如 -march=rv64gcv -mabi=lp64d），是否能正确处理 RVV intrinsics，以及自动向量化功能是否能在支持 RVV 的目标上生效。5. 测试与基准： 运行 GCC 官方的 RISC-V 测试套件，并针对性地增加 RVV 相关测试。利用支持 RVV 的模拟器（如 QEMU TCG）或硬件平台，进行简单的基准测试，初步评估 RVV 支持带来的性能提升。6. 文档与交付： 整理移植的补丁集，编写详细的移植说明、测试报告和使用指南。将成果以规范的格式提交给 Deepin 社区。
