这次再试试，虽然可能依旧会失败，会被现实毒打	，但还我这个屡败屡战的深夜轮回重症患者还是想再试试。谢谢所有书友！
很快萧逸枫就看到远处一片星云之中有一座近百丈的大门。人在这扇大门之前仿佛蝼蚁一般渺小，大门两侧站着牛头马面的雕像。两个雕像高近百丈，一左一右站着，此刻两个雕像的眼睛紧闭。大门之下还有一队共十六个身穿黑袍带着面具的人站在那里，看着两人临近。这些人带着一个	个黑色的面具，身披黑袍。黑袍和面具上是一个月亮的标志，上面带着一个个不同的数字。
萧逸枫问道“宿命组织中的十殿阎罗，可是按实力来排序”林清妍点头道“对，十殿阎罗之中的一殿秦广	王据说是渡劫境修士。身份神秘“二殿楚江王乃是大乘大圆满，鲜少露面，不过我觉得他似乎是正道中人“其余几殿都神神秘秘，除了十殿轮转王身份最为公开，其他人都隐藏颇深”萧逸枫突然问道“那赤霄教主阳奇志是哪一殿“阳奇志是宿命中人”林清妍诧异道。
孟婆也有些搞不清楚情况，疑惑道“他一直喊着姓林的，给我滚出来！也不知	道是找谁”林清妍若有所思，姓林的？总不能是找自己吧？孟婆说得口干舌燥，下意识端着手中的碗喝了一口，而后看着手中的孟婆汤愣住了。萧逸枫看着这老糊涂的孟婆突然不忍直视，还是自己家美若天仙的孟婆好。自家的孟婆起码不会糊涂到自己喝孟婆汤！孟婆呆了好一会，才回过神来看着林清妍问道“天曹大人，你怎么在这里”林清妍点头道“刚回来，汤我已经喝过了，我还有事，先走了”她飞快拉着萧逸枫大步踏上了那古朴的奈何桥，逃也似的跑了。
林清妍点头道“没错，人鬼做出足够的贡献以后，完成组织的考核，就可以成为地鬼“地鬼可以无限次进行交易，神魂进入此地，拥有更大的权力，也可以发展自己的下线“但他们就会被植入宿命之火，需要每一段时间为组织进行卖命一次了”萧逸枫看着林清妍问道“	那天鬼呢”原来自己分身中的是宿命之火啊，他倒不担心这个被植入的宿命之火。
林清妍目光一冷，这小判官真不知死活！懂不懂做人？不懂我让你以后做鬼去。林清妍向那阎罗王行了一礼后霸气道“此人对我宿命相当重要，还请阎罗大人便宜行事，莫要拘泥“如果命尊问起，我自会跟命尊解释，不会连累你们”	见那崔判官还想说什么，阎罗王笑了笑道“好了，崔判官，天曹做事自有道理，按天曹所说做吧“可是他没有执行过天级任务，这怎么可以”崔判官还是不乐意道“若是通过了考验，再让他补上一个天级任务即可”阎罗王无所谓道。
林清妍点了点头，阎罗王，崔判官和林清妍三人飞在半空中。萧逸枫三人则缓缓向前走去，林清妍惊讶地发现萧逸枫三人身上开始渗出无数的血液，流淌于地上。不知何时，他们身边围绕着一团的血光和黑光，身边影影绰绰，像是无数人跟在旁边。他们耳边不断响起各	种怨恨的责骂之声，这些人影压在他们身上，有着千钧之力压在他们身上阻碍他们前行。
反正关系被戳破，林清妍也破罐子破摔了。她咬牙切齿道“这拈花惹草的王八蛋，阎王大人，这因果线有没有办法剪断的”阎罗王愣住了，而后摇头道“因果非本人不可断，本王也不知如何斩去”林清妍有些无奈，不死心地弹出一道剑气，斩在萧	逸枫身上的一根根红线上。但这剑气根本伤不到这个红线，让她颇为挫败。崔判官没想到她想斩断的居然是其他红线，不由有些无语。
阎罗王问道“你可明悟了自己的宿命？可愿成为我宿命的一员”坎六十八半跪行礼道“属下愿意”她眼中出现了一股跟其他宿命中人一样的神光，执着而癫狂。阎罗王开怀笑道“嗯，恭喜你成为天鬼的一员，窥见真正的世界！你先到一旁休息”www.那人躬身点头道“是”她缓缓走到一旁，但神情却还是有些恍惚。萧逸枫却	有些吃惊地看向她，他已经从她刚刚的声音中认出来她是谁了。
萧逸枫看着眼前另一个自己陷入了一世又一世的轮回之中。另一个他的情感不受控制地持续不断地往他心中灌去。疯狂，绝望，挣扎，不	甘等等各种负面情绪不断轰击着他的神魂。他心中的情绪在短时间内积累了相当恐怖的负面情绪，想撼动他的神魂。而在外界，整个宿命轮回盘一层层亮起，很快九层宿命轮回盘都亮了起来。
那一半的心魔惨叫一	声被宿命轮回盘给吸了进去，一下子没了声息。萧逸枫将剩下的一半心魔困住，放入自己神魂之内，那心魔浑浑噩噩待在他神魂之内。但他与宿命轮回盘之间一点感应都没有，让萧逸枫异常的失望。想骗过这个宿命轮回盘果然没这么容易啊。就在他想离去的时候，整个宿命轮回盘突然亮了起来。整个天地之间一震，一股莫名的气息传出，像是什么被唤醒了一般。
但容不得萧逸枫看得更加真切，画面飞快转动，但很快画面	却突然像静止了一般，不再变化。四周是一片星空，一片寂寥，无数的陨石与大地碎片在他周围缓缓旋转着。萧逸枫身上如瓷片一般碎裂，躺在星空之中飞着，但身上的伤痕以缓慢的速度恢复。无数岁月过去，他猛地苏醒了过来，看着四周的星辰，一地的碎片。他呆呆地看着周围的废墟，喃喃道“这是哪？我没死？我到底沉睡了多少年“为什么会这样，为什么一切毁灭了，到底发生了什么事？到底是谁做的！命尊？还是宿尊“命尊，你给我出来啊，你不是要篡天吗？你不是想我死吗？你不是要复活夕颜仙子吗”没有人回应，过了不知道多久，他状若疯狂地在废墟之中四处寻找着。
就在此时，	萧逸枫走近她身边抬手向林清妍伸去，严肃道“别动”林清妍忍不住闭上了眼睛，然后就感觉额头一凉，一股精神力量探入她的识海。萧逸枫在林清妍识海里面探索了一圈，只在她识海中发现了宿命之火，但没有发现心魔的痕迹。林清妍没有被心魔控制，这让萧逸枫一头雾水，这是怎么回事？难道是因为她没有经过天鬼考验，所以没有被心魔左右神智？怪不得从林清妍身上没有发现任何一丝疯狂的迹象。
萧逸枫看着上面玲珑满目的天级任务，心中都无力吐槽了。这一个个任务真的是人能做到的吗？这天级任务每一个都这么难做，接个鬼啊。见他这吃了死蟑螂一样的表情，林清妍差点忍不住笑出声来。她憋着笑道“来，我给你介绍个很简单的任务”林清妍伸手在萧逸枫的	界面上翻了翻，用芊芊玉指指着其中一个任务道“这个！奖励丰富，你又能做到”萧逸枫定睛一看，差点没一口老血吐出来。
明眼人一眼就看出这个天级任务的猫腻来，明白这个任务不可能落给其他人。这一看就知道是专门发给某个特定的人接的。因为其他两个条件都显得特别奇葩，就只有最后一个条件显得极为宽松。立下血誓一生一世？这一看就是组织内某个位高权重的女子发给一个男子任务。这如何不让人心生羡慕妒忌恨的心思。虽然明明知道这个任务不可能落到自己头上，但人总有点侥幸心理，万一呢？在那个道友论道的频道中，这个任务让无数人议论纷纷，都在讨论到底是	谁发出了这种奇怪的任务。
萧逸枫站在院子中，摸了摸头上的冷汗，长舒一口气。妈耶，吓死我了，还以为真要亲母猪了。林清妍正在气头上，不过他知道她气的是自己不肯一心	一意。这个是没办法的，他也只能听之任之了。萧逸枫在院子中找了个房间，自己住了进去。回到房间，他发现这个任务的确显示已经完成，而他的玉佩也彻底激活了。他迫不及待地通过识海中的心魔激活那无天之地。
萧逸枫跟林清妍两人四处打量，只见神殿之内异常宽敞，但却有些冷冷清清，陈设不多。林清妍低声道“我们四处看看”萧逸枫点头，两人没有分开，在神殿内四处转了一圈，却没有任何发现。林清妍疑惑道“难道他并不在神殿之内”毕竟只要十殿阎罗身处宿命界就会点亮圣晶石，并不一定就在神殿之内。萧逸枫摇头道“宿命界	应该没有其他地方比他自己的神殿更安全了“以赤霄教的人那么喜欢打地洞的习惯，我怀疑这神殿内有乾坤，老小子躲在里面”两人又开始寻找起机关阵法来，萧逸枫突然目光停留在上方的王座之上。
阳奇志脆弱的血神大法根本就不是萧逸枫的血煞剑魔的对手，又惊又怒。他在赤霄教毁灭之前，	身处在那岩浆之中，眼见萧逸枫逃脱。而身上的灭世星辰枪要带他奔赴地狱，更恐怖的爆炸即将传来。他本以为自己死定了，却发现自己神魂中的宿命玉佩熠熠生光，顿时如同抓到救命稻草一般。当时他自毁了宿命玉佩，激发了其中的所有力量，缩短将神魂送入宿命界的时间。
林清妍用斩相思劈飞乱石，从中狼狈地站了起来。她被萧逸枫护着，又有斩相思护身，虽然受伤颇重，浑身哪都疼，但好在不致命。她顾不得身上的疼痛，惊慌失措地四处寻找萧逸枫的身影。但眼前断壁残垣，浓烟滚滚，根本看不见萧逸枫的身影。一想到萧逸枫硬抗了	一个大乘修士自爆神魂的冲击，她吓得六神无主。她知道萧逸枫也是类似神魂一类的东西，受到神魂冲击远比她要严重。
萧逸枫两人都拖着重伤之躯，表面上却从容地应对着判官的各种问询。不过对于两人，那些判官还是颇为忌惮，谈话也算是客气。询问到两人在何处的时候，林清妍回答在自己院子中，萧逸枫也说在她院子中。那判官多嘴了一句问了一句，萧逸枫三更半夜在林清妍那干什么。萧逸枫给了个你懂的眼神。林	清妍的目光恼怒地看着他。
仙体是修炼九转轮回诀和九转宿命诀的最基本要求，只有仙体才能承载住天道之种。那天道之物，则相当于一个身份的许	可，否则就是无源之水。萧逸枫暗暗苦笑，这个浩然天书的所有者也算用心良苦了。没有仙体的人根本看不懂这本浩然天书，也就不会为了修炼这所谓的九转宿命诀和九转轮回诀而做出些什么伤天害理的事情。
林无忧在见过自己母亲，知道她身体无恙，一切安好，也放下心来	。他自觉给了那么多山上仙丹，娘亲一定无病无痛，能延年益寿。他于是更加用心地修炼，争取早日能够下山游历，就能多与娘亲碰面。山上的日子过得特别快，很快又过去了大半个月。闭关的苏妙晴修炼闷了，忍不住出关来散散心。当她得知萧逸枫和初墨还在闭关不出，不由感到了无比无聊。
星辰领域，碧炎城所在的领地范围内，号称天	坑的死灵之地。这个天坑深达上万丈，从天上看下去如同一个被砸出来的天坑一样。此地据说在上古时期死亡了无数上古妖族，怨气极重。再加上这里灵气稀薄，所以荒无人烟，只有无数恶鬼在四周盘旋着。这个名为葬天坑的鬼地方平常只有一些需要器魂或者一些在星辰领域都不敢见人的魔修才会来此。
萧逸枫缓缓压了下去在她脸上亲了一口，感受着身下娇躯惊人的弹性，不禁有些心猿意马。不过看到林清妍眼中的水雾和委屈，他就知道自己玩过火了。他知道林清妍以林清妍的经历，这是对自己的绝对信任才	会这样跟自己进来。她从小在那种复杂的情况下长大，极度缺乏安全感和关爱。自己在她离开星辰圣殿，她慢慢卸下心防以后，第一个在她身边。
过了好一会，	萧逸枫有些遗憾地依依不舍离开身下火热的娇躯。唉，要是这个身体不是斩仙的，是自己的多好，身下这意乱情迷的小羔羊估计就跑不掉了。不过虽然他嘴上说两人明媒正娶，但他还是希望能真地弥补她一场隆重盛大的大婚仪式。林清妍此刻眼神迷离，媚眼如丝，衣衫有些凌乱，无力地喘息着。她只觉得自己浑身无力，像是又被束缚住了一样，不由白了这为所欲为的家伙一眼。
